,1,2,3,4,5,6,7,8,9,10,11,12
0,60.1527,67.2736,74.471,78.3605,85.0332,100.9161,100.4449,96.6673,86.0737,70.6174,61.0006,58.8463
1,61.2939,72.4358,80.3531,84.1727,87.649,110.0957,107.7163,99.9803,91.9189,75.5448,66.1444,61.7266
2,63.1806,75.5853,84.5376,84.8588,90.8292,110.2544,104.223,101.3501,89.763,73.9313,66.3693,61.2609
3,64.4718,75.6588,85.4413,85.3636,97.6658,113.8869,108.4892,105.1574,90.4006,75.9575,70.4377,62.9406
4,62.1359,74.2914,87.2364,90.4127,94.4487,110.3704,107.7992,104.1455,92.5301,75.3424,67.748,62.6839
5,63.9745,75.305,90.3144,92.9673,99.4444,115.0985,112.697,106.7606,92.0194,76.2699,67.61,61.6373
6,62.0839,73.1004,84.194,89.3363,92.7387,111.6697,107.2551,104.0113,90.9003,79.43,68.097,62.5993
7,63.2111,74.1756,86.7038,91.4958,95.0067,110.4607,107.5032,107.1208,95.6274,79.8574,68.1139,63.4909
8,67.1999,76.6913,86.1664,88.2804,92.4678,108.8118,108.2162,108.1975,90.9538,76.4667,66.6941,64.0639
9,60.7474,76.7223,86.883,89.3098,93.9892,111.0283,111.1303,106.4537,91.7611,77.1703,71.2566,66.8151
10,62.2779,77.2827,88.796,86.5305,93.6493,107.2898,101.4819,98.5253,86.4682,72.3072,66.2391,61.6633
11,63.7245,74.5943,86.9163,83.7841,94.6362,110.5579,107.8746,105.6151,96.1827,79.3075,70.5737,65.7924
12,67.2137,85.889,97.089,102.1572,108.6907,129.2661,125.5411,116.9928,107.2397,88.5509,80.6459,74.2115
13,76.4159,86.8848,101.5521,105.1924,114.6715,131.0005,124.9014,117.8103,104.3907,86.4981,74.897,70.8603
14,73.9217,89.2275,100.3606,104.6487,113.6752,127.7487,121.7275,119.4733,97.188,86.6919,77.2175,70.8426
15,74.177,94.826,103.9146,107.1375,117.1562,132.3974,127.7808,124.0426,107.0432,89.6764,84.8918,79.9534
16,80.1562,98.3366,115.4722,119.7717,130.4809,151.4431,145.9363,141.2217,117.7793,100.4335,88.0668,83.3665
17,87.8996,104.6814,115.7954,121.5564,126.487,140.8958,135.4606,128.6655,110.8316,97.7246,91.0177,86.2818
18,82.7888,104.1077,117.6657,122.3468,126.946,141.7432,144.0972,129.498,114.7846,98.6779,88.2081,86.0141
19,85.5435,105.197,118.4901,123.4269,128.336,157.9833,141.1193,136.102,121.366,104.0893,92.1657,89.2767
20,90.5032,110.7514,131.8741,135.6348,143.2373,158.7827,147.5228,144.386,127.4563,109.8598,99.6414,93.2646
21,95.669,123.8312,134.0437,141.2124,151.0478,165.6178,159.9179,152.7178,128.7124,109.9243,96.6277,90.806
22,99.8056,120.0998,134.6913,141.7214,145.2635,159.7445,156.3534,144.0006,121.6988,110.2728,102.3903,94.4189
23,105.2693,122.9618,139.2934,150.5009,149.1533,174.9847,173.536,165.2297,138.3647,127.4039,108.4171,96.0759
24,109.1198,129.842,145.8963,152.465,157.5106,184.7306,169.9422,153.3894,136.6672,113.5515,97.7307,94.7297
25,103.8988,127.5303,138.4992,137.9532,142.1142,158.885,146.785,137.9626,116.8539,105.822,94.8087,83.8164
26,96.8899,118.6278,129.7967,134.8158,141.0214,149.7686,139.747,130.334,115.1135,96.9113,82.5264,78.9362
27,86.6677,100.9395,106.7335,113.0032,116.6177,129.2258,122.4855,119.9992,103.843,92.4122,84.5961,79.7754
28,93.6509,111.6605,125.4901,137.0016,136.0743,150.6464,145.944,132.2916,117.5879,114.1243,92.9452,88.8077
29,101.703,116.3416,123.0615,134.7954,132.3796,148.8539,141.8865,135.1634,128.9898,115.4463,105.3973,104.9095
30,121.3205,144.1151,155.6815,169.7405,165.7221,189.4483,173.7945,163.7687,151.1098,137.2098,114.9383,105.9714
31,125.6698,142.8684,145.1463,151.9098,147.8298,163.3882,146.5845,141.5923,127.1396,116.2075,107.0186,93.8185
32,104.4374,126.4097,140.8747,149.093,150.9114,169.5485,157.7419,153.994,144.8704,139.9578,120.896,111.633
33,130.6865,148.6734,159.7905,172.3917,170.5098,196.8199,190.8778,179.8762,154.2446,144.6849,122.6144,107.2969
34,131.2496,144.7603,156.864,168.2542,160.4353,183.1928,176.5816,164.7909,146.8693,128.3122,111.4253,102.6229
35,126.6562,139.5327,153.5676,170.5189,167.8411,180.6642,167.7541,149.706,142.43,126.7331,104.3608,99.8186
36,108.3469,125.2242,140.2561,142.2791,144.1416,169.95,145.486,140.2375,124.4155,109.3029,102.7693,84.0579
37,94.4863,115.5756,130.0359,133.4888,138.4205,150.8221,134.9005,132.9428,119.8168,107.1088,88.1307,78.04
38,91.5797,110.8522,127.5045,133.0736,134.9918,144.4171,129.2733,125.962,116.443,98.0665,81.3472,73.0128
39,92.906,106.5027,114.6101,116.9917,116.5026,121.1541,116.6278,115.3661,102.078,91.3901,76.7526,71.6862
40,85.6799,99.8963,112.8685,115.2005,114.9518,124.7551,112.6917,107.9823,96.6636,89.1467,75.0476,68.9532
41,78.3164,98.2773,108.1474,108.1731,111.1878,129.0209,112.6732,106.3621,98.4978,91.3043,80.3577,68.0621
42,86.7437,102.1512,114.2524,119.8503,117.1011,131.5347,117.6691,111.7367,100.845,91.4105,86.6604,75.4099
43,85.578,100.5311,109.5401,108.3398,106.0841,116.2584,108.6179,112.6279,100.9015,94.6217,86.6478,77.8002
44,93.9254,103.2802,117.6911,125.7629,122.8934,134.1461,125.502,121.4044,107.5296,100.3291,85.2567,79.4748
45,88.3995,106.3118,113.5985,116.0346,109.8382,115.8969,109.793,107.6946,93.1538,88.1042,76.1651,75.0098
46,86.3635,104.8826,110.2793,119.0028,113.1868,130.814,122.0043,117.4884,107.5606,100.6902,84.7957,76.4424
47,87.8427,104.3388,117.0738,113.9729,115.5232,120.7968,106.8955,107.7196,100.6381,91.9778,79.145,75.213
48,84.1969,99.7767,108.0301,102.7954,112.5288,122.0301,116.9799,120.712,111.8634,100.7911,93.1239,83.7717
