termstart-1,d,r
1/14/1975,357,189
1/3/2001,263,278
1/4/1965,371,175
1/3/2013,259,283
1/3/1985,304,238
1/4/1977,358,191
1/7/1959,356,195
1/15/1979,339,203
1/3/1961,339,218
1/5/1993,319,228
1/3/1951,292,261
1/5/1981,292,250
1/3/1947,247,306
1/7/1997,257,286
1/4/1995,253,290
1/6/1999,259,279
1/9/1963,332,217
1/3/1973,306,240
1/5/2011,252,293
1/3/1953,274,280
1/3/1983,320,224
1/5/1955,288,253
1/4/2007,291,257
1/6/2009,327,226
1/4/2005,248,291
1/3/1989,322,224
1/3/1991,331,215
1/6/1987,318,226
1/3/1957,295,251
1/3/1949,330,224
1/3/1969,307,244
1/21/1971,314,231
1/10/1967,314,227
1/7/2003,256,281
